bonus,conservative_selected_count,conservative_selected_rate,risk_row_count,risk_type,selected_switch_count,selected_switch_rate
0.0,0,0.0,18,canopy_dew_margin_lt0,0,0.0
0.0,0,0.0,57,canopy_dew_margin_lt1,0,0.0
0.0,0,0.0,57,dew_risk,0,0.0
0.0,0,0.0,48,dry_or_high_vpd_risk,0,0.0
0.0,0,0.0,20,dry_risk,0,0.0
0.0,0,0.0,29,dry_vent_risk,0,0.0
0.0,0,0.0,42,high_vpd,0,0.0
0.0,0,0.0,97,humidity_or_dew_risk,0,0.0
0.02,0,0.0,18,canopy_dew_margin_lt0,0,0.0
0.02,0,0.0,57,canopy_dew_margin_lt1,0,0.0
0.02,0,0.0,57,dew_risk,0,0.0
0.02,0,0.0,48,dry_or_high_vpd_risk,0,0.0
0.02,0,0.0,20,dry_risk,0,0.0
0.02,0,0.0,29,dry_vent_risk,0,0.0
0.02,0,0.0,42,high_vpd,0,0.0
0.02,0,0.0,97,humidity_or_dew_risk,0,0.0
0.04,0,0.0,18,canopy_dew_margin_lt0,0,0.0
0.04,0,0.0,57,canopy_dew_margin_lt1,0,0.0
0.04,0,0.0,57,dew_risk,0,0.0
0.04,0,0.0,48,dry_or_high_vpd_risk,0,0.0
0.04,0,0.0,20,dry_risk,0,0.0
0.04,0,0.0,29,dry_vent_risk,0,0.0
0.04,0,0.0,42,high_vpd,0,0.0
0.04,0,0.0,97,humidity_or_dew_risk,0,0.0
0.06,12,0.6666666666666666,18,canopy_dew_margin_lt0,12,0.6666666666666666
0.06,19,0.3333333333333333,57,canopy_dew_margin_lt1,19,0.3333333333333333
0.06,19,0.3333333333333333,57,dew_risk,19,0.3333333333333333
0.06,46,0.9583333333333334,48,dry_or_high_vpd_risk,46,0.9583333333333334
0.06,18,0.9,20,dry_risk,18,0.9
0.06,29,1.0,29,dry_vent_risk,29,1.0
0.06,42,1.0,42,high_vpd,42,1.0
0.06,19,0.1958762886597938,97,humidity_or_dew_risk,19,0.1958762886597938
0.08,12,0.6666666666666666,18,canopy_dew_margin_lt0,12,0.6666666666666666
0.08,22,0.38596491228070173,57,canopy_dew_margin_lt1,22,0.38596491228070173
0.08,22,0.38596491228070173,57,dew_risk,22,0.38596491228070173
0.08,48,1.0,48,dry_or_high_vpd_risk,48,1.0
0.08,20,1.0,20,dry_risk,20,1.0
0.08,29,1.0,29,dry_vent_risk,29,1.0
0.08,42,1.0,42,high_vpd,42,1.0
0.08,37,0.38144329896907214,97,humidity_or_dew_risk,37,0.38144329896907214
0.1,12,0.6666666666666666,18,canopy_dew_margin_lt0,12,0.6666666666666666
0.1,26,0.45614035087719296,57,canopy_dew_margin_lt1,26,0.45614035087719296
0.1,26,0.45614035087719296,57,dew_risk,26,0.45614035087719296
0.1,48,1.0,48,dry_or_high_vpd_risk,48,1.0
0.1,20,1.0,20,dry_risk,20,1.0
0.1,29,1.0,29,dry_vent_risk,29,1.0
0.1,42,1.0,42,high_vpd,42,1.0
0.1,48,0.4948453608247423,97,humidity_or_dew_risk,48,0.4948453608247423
0.12,18,1.0,18,canopy_dew_margin_lt0,18,1.0
0.12,57,1.0,57,canopy_dew_margin_lt1,57,1.0
0.12,57,1.0,57,dew_risk,57,1.0
0.12,48,1.0,48,dry_or_high_vpd_risk,48,1.0
0.12,20,1.0,20,dry_risk,20,1.0
0.12,29,1.0,29,dry_vent_risk,29,1.0
0.12,42,1.0,42,high_vpd,42,1.0
0.12,97,1.0,97,humidity_or_dew_risk,97,1.0
