component,count,max,mean,p50,p75,p90,p95
base_final_score,126,0.05445833210398765,0.025026797695668852,0.023750000404407556,0.04733333277661611,0.049208332551022416,0.05108333255102249
raw_smoothness,126,0.04416666666666669,0.0017761888407621209,0.0008333327372869181,0.0041666671137015054,0.011666666666666714,0.01583333278695742
raw_low_reversal,126,0.0,0.0,0.0,0.0,0.0,0.0
raw_energy_proxy,126,0.23666666174928352,0.12113756358662928,0.1599999964237213,0.23666666174928352,0.23666666174928352,0.23666666174928352
projected_smoothness,126,0.04416666666666669,0.0017761888407621209,0.0008333327372869181,0.0041666671137015054,0.011666666666666714,0.01583333278695742
projected_low_reversal,126,0.0,0.0,0.0,0.0,0.0,0.0
projected_energy_proxy,126,0.23666666174928352,0.12113756358662928,0.1599999964237213,0.23666666174928352,0.23666666174928352,0.23666666174928352
prior_confidence_bonus,126,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994
risk_static_hold_penalty,126,0.0,0.0,0.0,0.0,0.0,0.0
rewrite_penalty,126,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_penalty,126,0.0,0.0,0.0,0.0,0.0,0.0
final_score,126,0.1104583321039877,0.0810267976956689,0.0797500004044076,0.10333333277661616,0.10520833255102247,0.10708333255102254
