active_regime,assigned_bonus,assigned_factor,canopy_dew_lt0_factor,canopy_dew_lt1_factor,counterfactual_winner_id,counterfactual_winner_score,dew_or_humidity_factor,dry_or_high_vpd_factor,dry_vent_factor,energy_relief,factor_vector_id,hour_of_day,is_risk,projected_energy_gap,raw_energy_gap,resolved_risk_family,risk_combo_id,runtime_selected_id,step,switch_relative_to_runtime,switch_relative_to_zero_bonus,switch_to_conservative,zero_bonus_winner_id,zero_minus_counterfactual_final_score
NORMAL_BALANCED,0.08,1.0,1.0,1.0,conservative_prior:conservative_stabilize:6,1.0321250007152558,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,0.0,True,0.0,0.0,dew_or_humidity,dew_or_humidity,previous_plan_prior:previous_shift_all:3,0,True,True,True,previous_plan_prior:previous_shift_all:3,0.07587500000000014
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,2.25,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,9,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,2.5,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,10,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,2.75,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,11,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:2,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,3.5,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:1,14,True,False,False,previous_plan_prior:hold_all:2,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,3.75,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,15,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,4.0,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,16,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,4.25,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,17,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,4.5,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,18,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,4.75,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,19,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.044000000357628,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,5.0,False,0.9200000017881393,0.9200000017881393,none,none,previous_plan_prior:previous_shift_all:2,20,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,6.25,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,25,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,6.5,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,26,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,6.75,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,27,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,7.0,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,28,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,7.25,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,29,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,7.5,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,30,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,7.75,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,31,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,8.0,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,32,True,False,False,previous_plan_prior:hold_all:3,0.0
NORMAL_BALANCED,0.0,1.0,1.0,1.0,previous_plan_prior:hold_all:3,1.06,1.0,1.0,1.0,0.0,canopy_lt0=1.0|canopy_lt1=1.0|dew=1.0|dry_vent=1.0|dry=1.0,8.25,False,1.0,1.0,none,none,previous_plan_prior:previous_shift_all:2,33,True,False,False,previous_plan_prior:hold_all:3,0.0
