family_conservative_selected_count,family_conservative_selected_rate,family_gap_to_target_rate,family_row_count,family_target_label,formula,policy,policy_local_bonus_vector_id,resolved_risk_family
12,0.6666666666666666,0.0,18,within_target,baseline_current_energy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0
32,0.4266666666666667,0.0,75,within_target,baseline_current_energy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
6,0.75,0.0,8,within_target,baseline_current_energy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
25,1.0,0.19999999999999996,25,over_target,baseline_current_energy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent
12,0.6666666666666666,0.0,18,within_target,formula_A_risk_mitigation_credit,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0
32,0.4266666666666667,0.0,75,within_target,formula_A_risk_mitigation_credit,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
6,0.75,0.0,8,within_target,formula_A_risk_mitigation_credit,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
25,1.0,0.19999999999999996,25,over_target,formula_A_risk_mitigation_credit,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent
8,0.4444444444444444,0.0,18,within_target,formula_B_risk_inconsistent_penalty,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0
32,0.4266666666666667,0.0,75,within_target,formula_B_risk_inconsistent_penalty,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
0,0.0,0.35,8,under_target,formula_B_risk_inconsistent_penalty,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
0,0.0,0.35,25,under_target,formula_B_risk_inconsistent_penalty,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent
8,0.4444444444444444,0.0,18,within_target,formula_C_combo_specific_energy_semantics,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0
32,0.4266666666666667,0.0,75,within_target,formula_C_combo_specific_energy_semantics,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
0,0.0,0.35,8,under_target,formula_C_combo_specific_energy_semantics,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
0,0.0,0.35,25,under_target,formula_C_combo_specific_energy_semantics,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent
11,0.6111111111111112,0.0,18,within_target,formula_D_net_risk_energy_proxy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0
32,0.4266666666666667,0.0,75,within_target,formula_D_net_risk_energy_proxy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
0,0.0,0.35,8,under_target,formula_D_net_risk_energy_proxy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
4,0.16,0.18999999999999997,25,under_target,formula_D_net_risk_energy_proxy,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent
12,0.6666666666666666,0.0,18,within_target,baseline_current_energy,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt0
14,0.358974358974359,0.0,39,within_target,baseline_current_energy,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt1
15,0.375,0.0,40,within_target,baseline_current_energy,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dew_or_humidity
6,0.75,0.0,8,within_target,baseline_current_energy,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_or_high_vpd
21,1.0,0.19999999999999996,21,over_target,baseline_current_energy,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_vent
12,0.6666666666666666,0.0,18,within_target,formula_A_risk_mitigation_credit,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt0
14,0.358974358974359,0.0,39,within_target,formula_A_risk_mitigation_credit,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt1
15,0.375,0.0,40,within_target,formula_A_risk_mitigation_credit,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dew_or_humidity
6,0.75,0.0,8,within_target,formula_A_risk_mitigation_credit,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_or_high_vpd
21,1.0,0.19999999999999996,21,over_target,formula_A_risk_mitigation_credit,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_vent
12,0.6666666666666666,0.0,18,within_target,formula_B_risk_inconsistent_penalty,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt0
14,0.358974358974359,0.0,39,within_target,formula_B_risk_inconsistent_penalty,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt1
15,0.375,0.0,40,within_target,formula_B_risk_inconsistent_penalty,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dew_or_humidity
0,0.0,0.35,8,under_target,formula_B_risk_inconsistent_penalty,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_or_high_vpd
0,0.0,0.35,21,under_target,formula_B_risk_inconsistent_penalty,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,dry_vent
12,0.6666666666666666,0.0,18,within_target,formula_C_combo_specific_energy_semantics,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt0
14,0.358974358974359,0.0,39,within_target,formula_C_combo_specific_energy_semantics,canopy_dew_first_v1,dry=0.06|dry_vent=0.06|dew=0.08|canopy=0.10,canopy_dew_lt1
