group_id,policy,projected_energy_gap_mean,raw_energy_gap_mean,raw_minus_projected_gap_mean,raw_minus_projected_gap_p95,raw_projected_identical,row_count
canopy_dew_lt0,severity_aware_non_additive_v2,0.07888888724976117,0.07888888724976117,0.0,0.0,True,18
canopy_dew_lt0+dew_or_humidity,severity_aware_non_additive_v2,0.23666666174928352,0.23666666174928352,0.0,0.0,True,6
canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,8
canopy_dew_lt1+dew_or_humidity,severity_aware_non_additive_v2,0.20489582904459291,0.20489582904459291,0.0,0.0,True,32
canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,3
dew_or_humidity,severity_aware_non_additive_v2,0.18373912655141045,0.18373912655141045,0.0,0.0,True,115
dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,16
dry_vent,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,25
dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,4
dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,4
dry_vent+dry_or_high_vpd,severity_aware_non_additive_v2,0.0,0.0,0.0,0.0,True,21
canopy_dew_lt0,canopy_dew_first_v1,0.07888888724976117,0.07888888724976117,0.0,0.0,True,18
canopy_dew_lt0+dew_or_humidity,canopy_dew_first_v1,0.23666666174928352,0.23666666174928352,0.0,0.0,True,6
canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,8
canopy_dew_lt1,canopy_dew_first_v1,0.16811965460069161,0.16811965460069161,0.0,0.0,True,39
canopy_dew_lt1+dew_or_humidity,canopy_dew_first_v1,0.20489582904459291,0.20489582904459291,0.0,0.0,True,32
canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,3
dew_or_humidity,canopy_dew_first_v1,0.18216666279981536,0.18216666279981536,0.0,0.0,True,80
dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,16
dry_vent,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,21
dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+dry_or_high_vpd,canopy_dew_first_v1,0.0,0.0,0.0,0.0,True,21
canopy_dew_lt0,dew_before_canopy_lt1_v1,0.07888888724976117,0.07888888724976117,0.0,0.0,True,18
canopy_dew_lt0+dew_or_humidity,dew_before_canopy_lt1_v1,0.23666666174928352,0.23666666174928352,0.0,0.0,True,6
canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,8
canopy_dew_lt1+dew_or_humidity,dew_before_canopy_lt1_v1,0.20489582904459291,0.20489582904459291,0.0,0.0,True,32
canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,3
dew_or_humidity,dew_before_canopy_lt1_v1,0.1775630214572454,0.1775630214572454,0.0,0.0,True,119
dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,16
dry_vent,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,21
dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+dry_or_high_vpd,dew_before_canopy_lt1_v1,0.0,0.0,0.0,0.0,True,21
canopy_dew_lt0,mixed_combo_specific_v1,0.07888888724976117,0.07888888724976117,0.0,0.0,True,18
canopy_dew_lt0+dew_or_humidity,mixed_combo_specific_v1,0.23666666174928352,0.23666666174928352,0.0,0.0,True,6
canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,8
canopy_dew_lt1+dew_or_humidity,mixed_combo_specific_v1,0.20489582904459291,0.20489582904459291,0.0,0.0,True,32
canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,3
dew_or_humidity,mixed_combo_specific_v1,0.18373912655141045,0.18373912655141045,0.0,0.0,True,115
dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,16
dry_vent,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,25
dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,4
dry_vent+dry_or_high_vpd,mixed_combo_specific_v1,0.0,0.0,0.0,0.0,True,21
