canopy_dew_bonus,conservative_risk_selected_count,conservative_risk_selected_rate,conservative_selected_count,dew_or_humidity_bonus,dry_or_high_vpd_bonus,dry_vent_bonus,family_extreme_rate_count,family_target_penalty,mixed_risk_combo_spread,mixed_risk_spread,nonrisk_conservative_selected_count,policy,previous_rule_ppo_suppression_detected,risk_row_count,risk_type_switch_spread,row_count,rule_suppression_detected,selected_id_vs_zero_bonus_winner_mismatch_count,single_risk_spread,switch_from_ppo_to_conservative_count,switch_from_previous_to_conservative_count,switch_from_rule_to_conservative_count,switch_relative_to_runtime_count,switch_relative_to_zero_bonus_count,switch_to_conservative_count,vector_id
0.0,0,0.0,0,0.0,0.0,0.0,5,1.75,0.0,0.0,0,severity_aware_non_additive_v1,False,126,0.0,720,False,248,0.0,0,0,0,248,0,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.04,0,0.0,0,0.0,0.0,0.0,5,1.75,0.0,0.0,0,severity_aware_non_additive_v1,False,126,0.0,720,False,248,0.0,0,0,0,248,0,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.06,15,0.11904761904761904,15,0.0,0.0,0.0,3,1.314285714285714,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,15,0,263,15,15,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.08,18,0.14285714285714285,18,0.0,0.0,0.0,3,1.2285714285714284,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,18,0,266,18,18,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.08
0.1,22,0.1746031746031746,22,0.0,0.0,0.0,3,1.1142857142857143,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,22,0,270,22,22,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.10
0.12,53,0.42063492063492064,53,0.0,0.0,0.0,5,1.4499999999999997,1.0,1.0,0,severity_aware_non_additive_v1,False,126,1.0,720,False,248,0.0,0,53,0,301,53,53,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.12
0.0,0,0.0,0,0.04,0.0,0.0,5,1.75,0.0,0.0,0,severity_aware_non_additive_v1,False,126,0.0,720,False,248,0.0,0,0,0,248,0,0,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.00
0.04,0,0.0,0,0.04,0.0,0.0,5,1.75,0.0,0.0,0,severity_aware_non_additive_v1,False,126,0.0,720,False,248,0.0,0,0,0,248,0,0,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.04
0.06,15,0.11904761904761904,15,0.04,0.0,0.0,3,1.314285714285714,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,15,0,263,15,15,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.06
0.08,18,0.14285714285714285,18,0.04,0.0,0.0,3,1.2285714285714284,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,18,0,266,18,18,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.08
0.1,22,0.1746031746031746,22,0.04,0.0,0.0,3,1.1142857142857143,1.0,0.6666666666666666,0,severity_aware_non_additive_v1,False,126,0.6666666666666666,720,False,248,0.0,0,22,0,270,22,22,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.10
0.12,53,0.42063492063492064,53,0.04,0.0,0.0,5,1.4499999999999997,1.0,1.0,0,severity_aware_non_additive_v1,False,126,1.0,720,False,248,0.0,0,53,0,301,53,53,dry=0.00|dry_vent=0.00|dew=0.04|canopy=0.12
0.0,0,0.0,0,0.06,0.0,0.0,5,1.75,0.0,0.0,0,severity_aware_non_additive_v1,False,126,0.0,720,False,248,0.0,0,0,0,248,0,0,dry=0.00|dry_vent=0.00|dew=0.06|canopy=0.00
