canopy_dew_bonus,conservative_selected_count,conservative_selected_rate,dew_or_humidity_bonus,dry_or_high_vpd_bonus,dry_vent_bonus,primary_risk_family,risk_row_count,switch_to_conservative_count,vector_id
0.0,0,0.0,0.0,0.0,0.0,dry_vent,29,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.0,0,0.0,0.0,0.0,0.0,canopy_dew_lt0,14,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.0,0,0.0,0.0,0.0,0.0,canopy_dew_lt1,35,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.0,0,0.0,0.0,0.0,0.0,dew_or_humidity,40,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.0,0,0.0,0.0,0.0,0.0,dry_or_high_vpd,8,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.0,0,0.0,0.0,0.0,0.0,none,0,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.00
0.04,0,0.0,0.0,0.0,0.0,dry_vent,29,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.04,0,0.0,0.0,0.0,0.0,canopy_dew_lt0,14,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.04,0,0.0,0.0,0.0,0.0,canopy_dew_lt1,35,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.04,0,0.0,0.0,0.0,0.0,dew_or_humidity,40,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.04,0,0.0,0.0,0.0,0.0,dry_or_high_vpd,8,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.04,0,0.0,0.0,0.0,0.0,none,0,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.04
0.06,0,0.0,0.0,0.0,0.0,dry_vent,29,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.06,8,0.5714285714285714,0.0,0.0,0.0,canopy_dew_lt0,14,8,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.06,3,0.08571428571428572,0.0,0.0,0.0,canopy_dew_lt1,35,3,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.06,0,0.0,0.0,0.0,0.0,dew_or_humidity,40,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.06,0,0.0,0.0,0.0,0.0,dry_or_high_vpd,8,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.06,0,0.0,0.0,0.0,0.0,none,0,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.06
0.08,0,0.0,0.0,0.0,0.0,dry_vent,29,0,dry=0.00|dry_vent=0.00|dew=0.00|canopy=0.08
