action_delta_u_heating,action_delta_u_screen,action_delta_u_ventilation,active_regime,assigned_bonus,counterfactual_winner_id,counterfactual_winner_score,current_ventilation,delta_canopy_dew_margin_hat,delta_dew_margin_air_hat,delta_rh_hat,delta_vpd_hat,dry_vent_relief_hat,dry_vent_worsening_hat,formula,formula_energy_delta,formula_projected_energy_score,hour_of_day,is_risk,original_projected_energy_proxy,policy,resolved_risk_family,risk_combo_id,runtime_selected_id,step,switch_relative_to_runtime,switch_relative_to_zero_bonus,switch_to_conservative,zero_bonus_winner_id
0.0,0.0,-0.06000000000000005,NORMAL_BALANCED,0.08,conservative_prior:conservative_stabilize:6,1.0321250007152558,1.0,-0.017250000000000015,-0.01200000000000001,0.15000000000000013,-0.24000000000000019,0.0,0.0,baseline_current_energy,0.0,0.8400000035762787,0.0,True,0.8400000035762787,canopy_dew_first_v1,dew_or_humidity,dew_or_humidity,previous_plan_prior:previous_shift_all:3,0,True,True,True,previous_plan_prior:previous_shift_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,2.25,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,9,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,2.5,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,10,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.41999998688697815,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,2.75,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,11,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:2,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,3.5,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:1,14,True,False,False,previous_plan_prior:hold_all:2
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,3.75,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,15,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,4.0,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,16,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,4.25,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,17,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,4.5,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,18,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,4.75,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,19,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.044000000357628,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,0.9200000017881393,5.0,False,0.9200000017881393,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,20,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,6.25,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,25,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,6.5,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,26,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,6.75,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,27,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,7.0,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,28,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,7.25,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,29,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,7.5,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,30,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,7.75,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,31,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,8.0,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,32,True,False,False,previous_plan_prior:hold_all:3
0.0,0.0,0.0,NORMAL_BALANCED,0.0,previous_plan_prior:hold_all:3,1.06,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,baseline_current_energy,0.0,1.0,8.25,False,1.0,canopy_dew_first_v1,none,none,previous_plan_prior:previous_shift_all:2,33,True,False,False,previous_plan_prior:hold_all:3
