active_risk_flags,feasible,first_action_delta_from_reference,primary_risk_family,score_delta_vs_conservative_stabilize,score_delta_vs_zero_bonus_winner,step,template_name,violation_count,violation_field_distribution,violation_reason_distribution,would_beat_zero_bonus_winner
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.005624999999999991,-0.08150000000000013,0,conservative_stabilize_dry,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.07962500000000006,0,conservative_stabilize_high_vpd,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0400000035762787, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,0.0028749992847442174,-0.07300000071525592,0,conservative_stabilize_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.009625000789761584,-0.08550000078976172,0,conservative_stabilize_canopy_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.07962500000000006,0,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.005624999999999991,-0.10783333192517375,73,conservative_stabilize_dry,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.10595833192517368,73,conservative_stabilize_high_vpd,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dew_or_humidity,0.008624999552965251,-0.0935833323722085,73,conservative_stabilize_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.01000000536441803, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.04999998807907102}",dew_or_humidity,0.00662499848008169,-0.09558333344509207,73,conservative_stabilize_canopy_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.10595833192517368,73,conservative_stabilize_dry_vent_guard,0,{},{},False
