first_delta_u_heating,first_delta_u_screen,first_delta_u_ventilation,hour_of_day,outside_air_dryer,phase_distribution,pulse_window_active,risk_combo_id,step,template_applicable,template_name,ventilation_increase_steps
0.09999999999999998,0.0,-0.19999999999999996,0.0,True,"{""dew_warm_stabilize"": 12}",False,dew_or_humidity,0,True,conservative_dew_stabilize,0
0.14000000357627868,0.0,-0.19999999999999996,0.0,True,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",False,dew_or_humidity,0,True,conservative_canopy_dew_warmup,0
0.09000000357627869,0.0,-0.19999999999999996,0.0,True,"{""pulse_window_inactive_warmup_only"": 12}",False,dew_or_humidity,0,True,conservative_dew_pulse_heat_then_vent,0
0.09999999999999998,-0.06,-0.149999988079071,18.25,False,"{""dew_warm_stabilize"": 12}",True,dew_or_humidity,73,True,conservative_dew_stabilize,0
0.14,-0.06,-0.2,18.25,False,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",True,dew_or_humidity,73,True,conservative_canopy_dew_warmup,0
0.16000000000000003,-0.06,-0.2,18.25,False,"{""pulse_heat_screen_slit_before_vent"": 4, ""pulse_vent_after_heat_if_outside_dryer"": 8}",True,dew_or_humidity,73,True,conservative_dew_pulse_heat_then_vent,0
0.09999999999999998,-0.06,-0.149999988079071,5.0,True,"{""dew_warm_stabilize"": 12}",True,dew_or_humidity,212,True,conservative_dew_stabilize,0
0.14,-0.06,-0.2,5.0,True,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",True,dew_or_humidity,212,True,conservative_canopy_dew_warmup,0
0.16000000000000003,-0.06,-0.2,5.0,True,"{""pulse_heat_screen_slit_before_vent"": 4, ""pulse_vent_after_heat_if_outside_dryer"": 8}",True,dew_or_humidity,212,True,conservative_dew_pulse_heat_then_vent,0
0.09999999999999998,-0.06,-0.149999988079071,5.25,True,"{""dew_warm_stabilize"": 12}",True,dew_or_humidity,213,True,conservative_dew_stabilize,0
0.14,-0.06,-0.2,5.25,True,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",True,dew_or_humidity,213,True,conservative_canopy_dew_warmup,0
0.16000000000000003,-0.06,-0.2,5.25,True,"{""pulse_heat_screen_slit_before_vent"": 4, ""pulse_vent_after_heat_if_outside_dryer"": 8}",True,dew_or_humidity,213,True,conservative_dew_pulse_heat_then_vent,0
0.09999999999999998,-0.06,-0.149999988079071,5.5,True,"{""dew_warm_stabilize"": 12}",True,dew_or_humidity,214,True,conservative_dew_stabilize,0
0.14,-0.06,-0.2,5.5,True,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",True,dew_or_humidity,214,True,conservative_canopy_dew_warmup,0
0.16000000000000003,-0.06,-0.2,5.5,True,"{""pulse_heat_screen_slit_before_vent"": 4, ""pulse_vent_after_heat_if_outside_dryer"": 8}",True,dew_or_humidity,214,True,conservative_dew_pulse_heat_then_vent,0
0.2,-5.18550052674982e-07,0.06999999284744263,9.0,True,"{""dew_warm_stabilize"": 12}",False,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,516,True,conservative_dew_stabilize,12
0.2,-5.18550052674982e-07,0.0,9.0,True,"{""canopy_post_warmup_vent_if_outside_dryer"": 8, ""canopy_warmup_screen_slit_before_vent"": 4}",False,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,516,True,conservative_canopy_dew_warmup,8
