conflict_priority_reason,conflict_type,dew_or_canopy_risk_active,dry_risk_active,dry_severity,hour_of_day,resolved_risk_family,resolved_template_family,risk_combo_id,severe_dew_or_canopy_risk,step,strong_guard_allowed
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,0.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,0,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,18.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,73,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,12.75,dry_vent,dry,dry_vent+dry_or_high_vpd,False,147,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,13.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,148,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,13.25,dry_vent,dry,dry_vent+dry_or_high_vpd,False,149,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,13.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,150,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,13.75,dry_vent,dry,dry_vent+dry_or_high_vpd,False,151,True
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,5.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,212,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,5.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,213,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,5.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,214,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,9.75,dry_or_high_vpd,dry,dry_or_high_vpd,False,327,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,10.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,328,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,10.25,dry_vent,dry,dry_vent+dry_or_high_vpd,False,329,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,10.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,330,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,10.75,dry_vent,dry,dry_vent+dry_or_high_vpd,False,331,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,11.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,332,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,11.25,dry_vent,dry,dry_vent+dry_or_high_vpd,False,333,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,11.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,334,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,11.75,dry_vent,dry,dry_vent+dry_or_high_vpd,False,335,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,12.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,336,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,12.25,dry_or_high_vpd,dry,dry_or_high_vpd,False,337,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,14.75,dry_or_high_vpd,dry,dry_or_high_vpd,False,347,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,15.25,dry_or_high_vpd,dry,dry_or_high_vpd,False,349,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,15.75,dry_or_high_vpd,dry,dry_or_high_vpd,False,351,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,16.25,dry_or_high_vpd,dry,dry_or_high_vpd,False,353,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,8.25,dry_or_high_vpd,dry,dry_or_high_vpd,False,417,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,8.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,418,False
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,moderate,8.75,dry_or_high_vpd,dry,dry_or_high_vpd,False,515,False
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,9.0,canopy_dew_lt0,dew_canopy,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,516,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,9.25,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,517,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,9.5,canopy_dew_lt0,dew_canopy,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,518,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,9.75,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,519,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,10.0,canopy_dew_lt0,dew_canopy,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,520,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,10.25,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,521,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,10.5,canopy_dew_lt0,dew_canopy,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,522,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,10.75,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,523,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,11.0,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,524,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,11.25,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,525,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,11.5,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,526,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,11.75,canopy_dew_lt1,dry,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,527,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,12.0,canopy_dew_lt1,dry,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,528,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,12.25,canopy_dew_lt1,dry,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,529,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,12.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,530,True
severe_canopy_or_dew_margin_risk_has_priority_over_dry_template,mixed_dew_canopy_precedence,True,True,severe,12.75,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd,True,531,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,13.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,532,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,13.25,canopy_dew_lt1,dry,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,533,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,13.5,canopy_dew_lt1,dry,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,534,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,13.75,canopy_dew_lt1,dry,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,535,True
moderate_or_severe_dry_uses_dry_template_otherwise_dew_canopy_template,mixed_dry_dew,True,True,severe,14.0,canopy_dew_lt1,dry,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd,False,536,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,14.25,dry_vent,dry,dry_vent+dry_or_high_vpd,False,537,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,14.5,dry_vent,dry,dry_vent+dry_or_high_vpd,False,538,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,14.75,dry_vent,dry,dry_vent+dry_or_high_vpd,False,539,True
dry_template_allowed_and_dew_template_blocked,dry_only,False,True,severe,15.0,dry_vent,dry,dry_vent+dry_or_high_vpd,False,540,True
