dry_risk_age_steps,dry_severity,dry_severity_rank,dry_severity_reasons,dry_vent_age_steps,hour_of_day,resolved_risk_family,rh_air,risk_combo_id,step,strong_guard_allowed,vpd_air
1,moderate,2,"[""dry_vent_not_severe"", ""high_vpd_flag"", ""rh_lt_65"", ""vpd_ge_1_15""]",1,12.75,dry_vent,61.295667010719875,dry_vent+dry_or_high_vpd,147,False,1.2047857653139369
2,moderate,2,"[""dry_vent_not_severe"", ""high_vpd_flag"", ""rh_lt_65"", ""vpd_ge_1_15""]",2,13.0,dry_vent,58.33907553642014,dry_vent+dry_or_high_vpd,148,False,1.3962148257163356
3,moderate,2,"[""dry_vent_not_severe"", ""high_vpd_flag"", ""rh_lt_65"", ""vpd_ge_1_15""]",3,13.25,dry_vent,57.73331210615125,dry_vent+dry_or_high_vpd,149,False,1.4480664926274105
4,severe,3,"[""sustained_dry_vent_age_ge_4""]",4,13.5,dry_vent,58.95467966631317,dry_vent+dry_or_high_vpd,150,True,1.365927385989567
5,severe,3,"[""sustained_dry_vent_age_ge_4""]",5,13.75,dry_vent,60.15452053990635,dry_vent+dry_or_high_vpd,151,True,1.2807424431579622
1,moderate,2,"[""rh_lt_65"", ""vpd_ge_1_15""]",0,9.75,dry_or_high_vpd,54.403473946942555,dry_or_high_vpd,327,False,1.1683724760271632
2,severe,3,"[""dry_vent_and_rh_le_54""]",1,10.0,dry_vent,53.458179694769285,dry_vent+dry_or_high_vpd,328,True,1.4527875555007945
3,severe,3,"[""vpd_ge_1_50"", ""dry_vent_and_rh_le_54""]",2,10.25,dry_vent,51.87587327345088,dry_vent+dry_or_high_vpd,329,True,1.5513566063180169
4,severe,3,"[""vpd_ge_1_50"", ""dry_vent_and_rh_le_54""]",3,10.5,dry_vent,51.686250794621095,dry_vent+dry_or_high_vpd,330,True,1.592277385998778
5,severe,3,"[""vpd_ge_1_50"", ""dry_vent_and_rh_le_54"", ""sustained_dry_vent_age_ge_4""]",4,10.75,dry_vent,51.695405871901585,dry_vent+dry_or_high_vpd,331,True,1.6275083589275892
6,severe,3,"[""vpd_ge_1_50"", ""dry_vent_and_rh_le_54"", ""sustained_dry_vent_age_ge_4""]",5,11.0,dry_vent,51.74183604493684,dry_vent+dry_or_high_vpd,332,True,1.6620371174397184
7,severe,3,"[""vpd_ge_1_50"", ""dry_vent_and_rh_le_54"", ""sustained_dry_vent_age_ge_4""]",6,11.25,dry_vent,51.79783594592986,dry_vent+dry_or_high_vpd,333,True,1.695578869261264
